author_id,type,titre,annee,venue_raw,auteurs,rank
8,conference,Towards Automating RDF Extraction for Archaeological Knowledge Graphs with LLMs.,2025,DEXA (1),Ali Hariri | Stéphane Jean | Mickaël Baron,C
8,conference,Évaluation des capacités de réponse de larges modèles de langage (LLM) pour des questions d'historiens.,2024,EGC,Mathieu Chartier | Nabil Dakkoune | Guillaume Bourgeois | Stéphane Jean,NC
8,conference,Knowledge Graphs for Data Integration in Retail.,2024,ISMIS,Maxime Perrot | Mickaël Baron | Brice Chardin | Stéphane Jean,C
8,journal,Editorial: Special Issue on Semantic Web and Ontology Design for Cultural Heritage.,2023,ACM Journal on Computing and Cultural Heritage,Antonis Bikakis | Roberta Ferrario | Stéphane Jean | Béatrice Markhoff | Alessandro Mosca 0001 | Marianna Nicolosi Asmundo,NC
8,conference,Thesaurus-Based Transformation: A Classification Method for Real Dirty Data.,2023,ADBIS (Short Papers),Maxime Perrot | Mickaël Baron | Brice Chardin | Stéphane Jean,C
8,journal,A cooperative treatment of the plethoric answers problem in RDF.,2022,Knowl. Inf. Syst.,Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,NC
8,conference,Trust Model Recommendation Driven by Application Requirements.,2022,RCIS,Chayma Sellami | Mickaël Baron | Stéphane Jean | Mounir Bechchi | Allel Hadjali | Dominique Chabot,B
8,conference,Explaining Unexpected Answers of SPARQL Queries.,2022,WISE,Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali,B
8,journal,Editorial: Special issue on Semantic Web for Cultural Heritage.,2021,Semantic Web,Antonis Bikakis | Eero Hyvönen | Stéphane Jean | Béatrice Markhoff | Alessandro Mosca 0001,NC
8,conference,Dealing with Plethoric Answers of SPARQL Queries.,2021,DEXA (1),Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,C
8,conference,Towards a Unified Framework for Computational Trust and Reputation Models for e-Commerce Applications.,2021,RCIS,Chayma Sellami | Mickaël Baron | Mounir Bechchi | Allel Hadjali | Stéphane Jean | Dominique Chabot,B
