author_id,type,titre,annee,venue_raw,auteurs,rank,SJR Best Quartile,SJR,quartile
3,conference,RDF_QDAG in Action: Efficient RDF Data Querying at Scale.,2022,WISE,Boumediene Saidi | Houssameddine Yousfi | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Houcine Matallah,B,,0,NC
3,journal,The Mode-Fisher pooling for time complexity optimization in deep convolutional neural networks.,2021,Neural Comput. Appl.,Dou El Kefel Mansouri | Bachir Kaddar | Seif-Eddine Benkabou | Khalid Benabdeslem,NC,Q1,"1,102",Q1
17,journal,Buffer dimensioning per frames in packet networks.,2025,Real Time Syst.,Richard Garreau | Frédéric Ridouard | Henri Bauer | Pascal Richard,NC,Q2,"0,491",Q2
17,conference,An unfair optimal scheduling algorithm for uniform multiprocessors.,2025,ETFA,Thomas Gaspard | Antoine Bertout | Pascal Richard | Joël Goossens | Emmanuel Grolleau,TBR,,0,NC
17,journal,FracAbut: A python toolbox for computing fracture stratigraphy using interface impedance.,2024,Comput. Geosci.,Paul Joseph Namongo Soro | Juliette Lamarche | Sophie Viseur | Pascal Richard | Fateh Messaadi,NC,,0,NC
17,conference,Link Between Real-Time Scheduling and Time-Triggered Networks.,2023,RTSS,Richard Garreau | Matheus Ladeira | Emmanuel Grolleau | Henri Bauer | Frédéric Ridouard | Pascal Richard,A*,,0,NC
7,journal,A temporal dependency preserving approach for anomaly detection on multivariate time series.,2025,World Wide Web (WWW),Seif-Eddine Benkabou | Khalid Benabdeslem | Dou El Kefel Mansouri | Souleyman Chaib | Amin Mesmoudi | Allel Hadjali,NC,Q1,"0,876",Q1
7,journal,Bridging machine learning and query optimization: Feedback-driven selectivity estimation for spatial filters.,2025,World Wide Web (WWW),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Ahmed Youcef Benhalima,NC,Q1,"0,876",Q1
7,conference,An Advanced Entity Resolution in Data Lakes: First Steps.,2025,DATA,Lamisse F. Bouabdelli | Fatma Abdelhedi | Slimane Hammoudi | Allel Hadjali,C,Q2,"0,480",Q2
7,journal,Parallel continuous skyline query over high-dimensional data stream windows.,2024,Distributed Parallel Databases,Walid Khames | Allel Hadjali | Mohand Lagha,NC,Q2,"0,451",Q2
7,conference,Selectivity Estimation for Spatial Filters Using Optimizer Feedback: A Machine Learning Perspective.,2024,WISE (4),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali,B,,0,NC
7,journal,An intelligent fuzzy system to manage western flower thrips population under biological treatment in roses yield.,2023,Comput. Electron. Agric.,Ahmad Tay | Frédéric Lafont | Jean-François Balmat | Allel Hadjali,NC,Q1,"1,834",Q1
7,journal,SRDF_QDAG: An efficient end-to-end RDF data management when graph exploration meets spatial processing.,2023,Comput. Sci. Inf. Syst.,Houssameddine Yousfi | Amin Mesmoudi | Allel Hadjali | Houcine Matallah | Seif-Eddine Benkabou,NC,Q2,"0,401",Q2
7,journal,Multisensor Data Fusion in IoT Environments in Dempster-Shafer Theory Setting: An Improved Evidence Distance-Based Approach.,2023,Sensors,Nour El Imane Hamda | Allel Hadjali | Mohand Lagha,NC,Q1,"0,764",Q1
7,journal,CoSP: co-selection pick for a global explainability of black box machine learning models.,2023,World Wide Web (WWW),Dou El Kefel Mansouri | Seif-Eddine Benkabou | Khoula Meddahi | Allel Hadjali | Amin Mesmoudi | Khalid Benabdeslem | Souleyman Chaib,NC,Q1,"0,876",Q1
7,conference,Databases and Information Systems: Contributions from ADBIS 2023 Workshops and Doctoral Consortium.,2023,ADBIS (Short Papers),Adam Przybylek | Aleksandra Karpus | Allel Hadjali | Anton Dignös | Carmem S. Hara | Danae Pla Karidi | Ester Zumpano | Fabio Persia | Genoveva Vargas-Solar | George Papastefanatos | Giancarlo Sperlì | Giorgos Giannopoulos | Ivan Lukovic | Julien Aligon | Manolis Terrovitis | Marek Grzegorowski | Mariella Bonomo | Mirian Halfeld Ferrari Alves | Nicolas Labroche | Paul Monsarrat | Richard Chbeir | Sana Sellami | Seshu Tirupathi | Simona E. Rombo | Slavica Kordic | Sonja Ristic | Tommaso Di Noia | Torben Bach Pedersen | Vincenzo Moscato,C,,0,NC
7,conference,Towards a Context-based Mobility Prediction in Smart Cities: First Experimentations.,2023,TrustCom,Hocine Boukhedouma | Abdelkrim Meziane | Slimane Hammoudi | Amel Benna | Allel Hadjali,B,,0,NC
7,journal,RG-SKY: A fuzzy group skyline relaxation for combinatorial decision making.,2022,Comput. Sci. Inf. Syst.,Sana Nadouri | Allel Hadjali | Zaïdi Sahnoun,NC,Q2,"0,401",Q2
7,journal,A cooperative treatment of the plethoric answers problem in RDF.,2022,Knowl. Inf. Syst.,Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,NC,Q2,"0,827",Q2
7,conference,A Fuzzy Satisfaction Concept Based-Approach for Skyline Relaxation.,2022,DEXA (2),Mohamed Haddache | Allel Hadjali | Hamid Azzoune,C,,0,NC
7,conference,Fuzzy Group Skyline Relaxation.,2022,LFA,Sana Nadouri | Allel Hadjali | Zaïdi Sahnoun,none,,0,NC
7,conference,Trust Model Recommendation Driven by Application Requirements.,2022,RCIS,Chayma Sellami | Mickaël Baron | Stéphane Jean | Mounir Bechchi | Allel Hadjali | Dominique Chabot,B,,0,NC
7,conference,Towards a Co-selection Approach for a Global Explainability of Black Box Machine Learning Models.,2022,WISE,Khoula Meddahi | Seif-Eddine Benkabou | Allel Hadjali | Amin Mesmoudi | Dou El Kefel Mansouri | Khalid Benabdeslem | Souleyman Chaib,B,,0,NC
7,conference,Explaining Unexpected Answers of SPARQL Queries.,2022,WISE,Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali,B,,0,NC
7,conference,RDF_QDAG in Action: Efficient RDF Data Querying at Scale.,2022,WISE,Boumediene Saidi | Houssameddine Yousfi | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Houcine Matallah,B,,0,NC
7,journal,Skyline refinement exploiting fuzzy formal concept analysis.,2021,Int. J. Intell. Comput. Cybern.,Mohamed Haddache | Allel Hadjali | Hamid Azzoune,NC,Q2,"0,382",Q2
7,journal,Selecting Services for Multiple Users: Let's Be Democratic.,2021,IEEE Trans. Serv. Comput.,Karim Benouaret | Dimitris Sacharidis | Djamal Benslimane | Allel Hadjali,NC,Q1,"1,441",Q1
7,conference,Dealing with Plethoric Answers of SPARQL Queries.,2021,DEXA (1),Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,C,,0,NC
7,conference,On Controlling Skyline Query Results: What Does Soft Computing Bring?,2021,FQAS,Allel Hadjali,C,,0,NC
7,conference,A Possible Worlds Interpretation of Many-Sorted Theory for IR.,2021,IEA/AIE (2),Mohammed Sadou | Yassine Djouadi | Allel Hadj-Ali,C,,0,NC
7,conference,Towards a Unified Framework for Computational Trust and Reputation Models for e-Commerce Applications.,2021,RCIS,Chayma Sellami | Mickaël Baron | Mounir Bechchi | Allel Hadjali | Stéphane Jean | Dominique Chabot,B,,0,NC
16,journal,Vector Meson Spectrum from Top-Down Holographic QCD.,2024,Axioms,Mohammed Mia | Keshav Dasgupta | Charles Gale | Michael Richard | Olivier Trottier,NC,,0,NC
0,journal,Inferring from an imprecise Plackett-Luce model: Application to label ranking.,2024,Fuzzy Sets Syst.,Loïc Adam | Arthur Van Camp | Sébastien Destercke | Benjamin Quost,NC,Q1,"0,754",Q1
0,journal,Handling inconsistency in (numerical) preferences using possibility theory.,2024,Inf. Fusion,Loïc Adam | Sébastien Destercke,NC,Q1,"4,128",Q1
0,conference,Handling Inconsistency in (Numerical) Preferences Using Possibility Theory.,2023,ECSQARU,Loïc Adam | Sébastien Destercke,C,,0,NC
0,conference,Sous-ensembles maximaux cohérents multidimensionnels rendus faciles : illustration sur un problème d'estimation.,2022,LFA,Loïc Adam | Sébastien Destercke,none,,0,NC
0,conference,Incremental Elicitation of Preferences: Optimist or Pessimist?,2021,ADT,Loïc Adam | Sébastien Destercke,C,,0,NC
0,conference,Possibilistic preference elicitation by minimax regret.,2021,UAI,Loïc Adam | Sébastien Destercke,A,,0,NC
4,conference,Clustering Under Radius Constraints Using Minimum Dominating Sets.,2024,ISMIS,Quentin Haenn | Brice Chardin | Mickaël Baron,C,,0,NC
4,conference,Knowledge Graphs for Data Integration in Retail.,2024,ISMIS,Maxime Perrot | Mickaël Baron | Brice Chardin | Stéphane Jean,C,,0,NC
4,conference,Thesaurus-Based Transformation: A Classification Method for Real Dirty Data.,2023,ADBIS (Short Papers),Maxime Perrot | Mickaël Baron | Brice Chardin | Stéphane Jean,C,,0,NC
4,journal,A cooperative treatment of the plethoric answers problem in RDF.,2022,Knowl. Inf. Syst.,Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,NC,Q2,"0,827",Q2
4,conference,Explaining Unexpected Answers of SPARQL Queries.,2022,WISE,Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali,B,,0,NC
4,conference,Dealing with Plethoric Answers of SPARQL Queries.,2021,DEXA (1),Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,C,,0,NC
4,conference,Clustering to the Fewest Clusters Under Intra-Cluster Dissimilarity Constraints.,2021,ICTAI,Jennie Andersen | Brice Chardin | Mohamed Tribak,B,,0,NC
11,journal,Buffer dimensioning per frames in packet networks.,2025,Real Time Syst.,Richard Garreau | Frédéric Ridouard | Henri Bauer | Pascal Richard,NC,Q2,"0,491",Q2
11,conference,Global Versus Local Schedulability Analysis of a Two-Level Hierarchical System.,2025,ISORC,Luc Descharmes | Henri Bauer | Frédéric Ridouard | Annie Choquet-Geniet,C,,0,NC
11,conference,Configuring the IEEE 802.1Q Time-Aware Shaper with Deep Reinforcement Learning.,2024,NOMS,Adrien Roberty | Quentin Besnard | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,B,,0,NC
11,conference,Reinforcement Learning for Time-Aware Shaping (IEEE 802.1Qbv) in Time-Sensitive Networks.,2023,ETFA,Adrien Roberty | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,TBR,,0,NC
11,conference,Link Between Real-Time Scheduling and Time-Triggered Networks.,2023,RTSS,Richard Garreau | Matheus Ladeira | Emmanuel Grolleau | Henri Bauer | Frédéric Ridouard | Pascal Richard,A*,,0,NC
15,conference,An unfair optimal scheduling algorithm for uniform multiprocessors.,2025,ETFA,Thomas Gaspard | Antoine Bertout | Pascal Richard | Joël Goossens | Emmanuel Grolleau,TBR,,0,NC
15,journal,Resource constraint scheduling on two dedicated machines: Application to avionics.,2024,EURO J. Comput. Optim.,Ouissem Mesli-Kesraoui | Loic Ledreck | Emmanuel Grolleau | Soraya Kesraoui | Pascal Berruet | Yassine Ouhammou | Patrick Girard 0002,NC,Q1,"1,006",Q1
15,journal,Design of Micro-drone Autopilot Architecture with Static Scheduling Optimization.,2024,Unmanned Syst.,Gautier Hattenberger | Fabien Bonneval | Matheus Ladeira | Emmanuel Grolleau | Yassine Ouhammou,NC,Q1,"0,731",Q1
15,conference,Fault Current Limitation Constraint for the Distribution Network Reconfiguration Problem in Medium Voltage Compensated Distribution Networks.,2024,ISGT,Aghyles Graine | Nour Karnib | Jean-Paul Gaubert | Antoine Bertout | Emmanuel Grolleau | Didier Larraillet,none,,0,NC
15,conference,A Dynamic Approach for the Distribution Network Reconfiguration Problem.,2024,ISGT,Aghyles Graine | Nour Karnib | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert | Didier Larraillet,none,,0,NC
15,conference,Distributed Generation Curtailment for Maintaining Voltage Stability.,2024,ISGT Asia,Nour Karnib | Aghyles Graine | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert,none,,0,NC
15,journal,Easing the tuning of drone autopilots through a model-based framework.,2023,J. Comput. Lang.,Soulimane Kamni | Antoine Bertout | Emmanuel Grolleau | Gautier Hattenberger | Yassine Ouhammou,NC,Q3,"0,426",Q3
15,conference,Towards a European Network of Enabling Technologies for Drones.,2023,DroneSE/RAPIDO@HiPEAC,Réda Nouacer | Mahmoud Hussein | Paul Detterer | Eugenio Villar | Fernando Herrera | Carlo Tieri | Emmanuel Grolleau,none,,0,NC
15,conference,A Mixed Integer Linear Programming Model for the Distribution Network Reconfiguration Problem.,2023,ICSC,Aghyles Graine | Nour Karnib | Jean-Paul Gaubert | Antoine Bertout | Emmanuel Grolleau | Didier Larraillet,none,,0,NC
15,conference,A Network Reduction Method for the Distribution Network Reconfiguration Problem.,2023,ISGT EUROPE,Aghyles Graine | Nour Karnib | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert | Didier Larraillet,none,,0,NC
15,conference,Link Between Real-Time Scheduling and Time-Triggered Networks.,2023,RTSS,Richard Garreau | Matheus Ladeira | Emmanuel Grolleau | Henri Bauer | Frédéric Ridouard | Pascal Richard,A*,,0,NC
15,journal,Scheduling Offset-Free Systems Under FIFO Priority Protocol (Artifact).,2022,Dagstuhl Artifacts Ser.,Matheus Ladeira | Emmanuel Grolleau | Fabien Bonneval | Gautier Hattenberger | Yassine Ouhammou | Yuri Hérouard,NC,,0,NC
15,journal,Workload assignment for global real-time scheduling on unrelated clustered platforms.,2022,Real Time Syst.,Antoine Bertout | Joël Goossens | Emmanuel Grolleau | Roy Jamil | Xavier Poczekajlo,NC,Q2,"0,491",Q2
15,conference,Scheduling Offset-Free Systems Under FIFO Priority Protocol.,2022,ECRTS,Matheus Ladeira | Emmanuel Grolleau | Fabien Bonneval | Gautier Hattenberger | Yassine Ouhammou | Yuri Hérouard,B,,0,NC
15,conference,A Reverse Design Framework for Modifiable-off-the-Shelf Embedded Systems: Application to Open-Source Autopilots.,2022,MEDI,Soulimane Kamni | Yassine Ouhammou | Emmanuel Grolleau | Antoine Bertout | Gautier Hattenberger,C,,0,NC
15,journal,RoBMEX: ROS-based modelling framework for end-users and experts.,2021,J. Syst. Archit.,Matheus Ladeira | Yassine Ouhammou | Emmanuel Grolleau,NC,Q1,"1,220",Q1
15,conference,Towards a Model-Based Approach to Support Physical Test Process of Aircraft Hydraulic Systems.,2021,MEDI,Ouissem Mesli-Kesraoui | Yassine Ouhammou | Olga Goubali | Pascal Berruet | Patrick Girard 0002 | Emmanuel Grolleau,C,,0,NC
6,journal,Resource constraint scheduling on two dedicated machines: Application to avionics.,2024,EURO J. Comput. Optim.,Ouissem Mesli-Kesraoui | Loic Ledreck | Emmanuel Grolleau | Soraya Kesraoui | Pascal Berruet | Yassine Ouhammou | Patrick Girard 0002,NC,Q1,"1,006",Q1
6,conference,Towards a Model-Based Approach to Support Physical Test Process of Aircraft Hydraulic Systems.,2021,MEDI,Ouissem Mesli-Kesraoui | Yassine Ouhammou | Olga Goubali | Pascal Berruet | Patrick Girard 0002 | Emmanuel Grolleau,C,,0,NC
13,conference,Global Versus Local Schedulability Analysis of a Two-Level Hierarchical System.,2025,ISORC,Luc Descharmes | Henri Bauer | Frédéric Ridouard | Annie Choquet-Geniet,C,,0,NC
13,conference,Configuring the IEEE 802.1Q Time-Aware Shaper with Deep Reinforcement Learning.,2024,NOMS,Adrien Roberty | Quentin Besnard | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,B,,0,NC
13,conference,Reinforcement Learning for Time-Aware Shaping (IEEE 802.1Qbv) in Time-Sensitive Networks.,2023,ETFA,Adrien Roberty | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,TBR,,0,NC
10,journal,A temporal dependency preserving approach for anomaly detection on multivariate time series.,2025,World Wide Web (WWW),Seif-Eddine Benkabou | Khalid Benabdeslem | Dou El Kefel Mansouri | Souleyman Chaib | Amin Mesmoudi | Allel Hadjali,NC,Q1,"0,876",Q1
10,journal,SemPart: Yet another RDF data partitioning strategy.,2025,World Wide Web (WWW),Boumediene Saidi | Houcine Matallah | Amin Mesmoudi | Ladjel Bellatreche,NC,Q1,"0,876",Q1
10,journal,Bridging machine learning and query optimization: Feedback-driven selectivity estimation for spatial filters.,2025,World Wide Web (WWW),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Ahmed Youcef Benhalima,NC,Q1,"0,876",Q1
10,conference,Selectivity Estimation for Spatial Filters Using Optimizer Feedback: A Machine Learning Perspective.,2024,WISE (4),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali,B,,0,NC
10,journal,SRDF_QDAG: An efficient end-to-end RDF data management when graph exploration meets spatial processing.,2023,Comput. Sci. Inf. Syst.,Houssameddine Yousfi | Amin Mesmoudi | Allel Hadjali | Houcine Matallah | Seif-Eddine Benkabou,NC,Q2,"0,401",Q2
10,journal,CoSP: co-selection pick for a global explainability of black box machine learning models.,2023,World Wide Web (WWW),Dou El Kefel Mansouri | Seif-Eddine Benkabou | Khoula Meddahi | Allel Hadjali | Amin Mesmoudi | Khalid Benabdeslem | Souleyman Chaib,NC,Q1,"0,876",Q1
10,conference,Towards a Co-selection Approach for a Global Explainability of Black Box Machine Learning Models.,2022,WISE,Khoula Meddahi | Seif-Eddine Benkabou | Allel Hadjali | Amin Mesmoudi | Dou El Kefel Mansouri | Khalid Benabdeslem | Souleyman Chaib,B,,0,NC
10,conference,RDF_QDAG in Action: Efficient RDF Data Querying at Scale.,2022,WISE,Boumediene Saidi | Houssameddine Yousfi | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Houcine Matallah,B,,0,NC
10,journal,GoFast: Graph-based optimization for efficient and scalable query evaluation.,2021,Inf. Syst.,Ishaq Zouaghi | Amin Mesmoudi | Jorge Galicia | Ladjel Bellatreche | Taoufik Aguili,NC,Q1,"0,885",Q1
10,journal,Combining Graph Exploration and Fragmentation for Scalable RDF Query Processing.,2021,Inf. Syst. Frontiers,Abdallah Khelil | Amin Mesmoudi | Jorge Galicia | Ladjel Bellatreche | Mohand-Saïd Hacid | Emmanuel Coquery,NC,Q1,"2,002",Q1
2,journal,Advances on data management systems.,2025,Inf. Syst.,Ladjel Bellatreche | Marlon Dumas | Panagiotis Karras | Raimundas Matulevicius | Silvia Chiusano | Tania Cerquitelli | Robert Wrembel,NC,Q1,"0,885",Q1
2,journal,Advances in databases and information systems - Selected papers from ADBIS 2023.,2025,Inf. Syst.,Alberto Abelló | Ladjel Bellatreche | Oscar Romero 0001 | Panos Vassiliadis | Robert Wrembel,NC,Q1,"0,885",Q1
2,journal,GUITARES: graph attention network for building knowledge graph-based trust-aware recommender systems.,2025,J. Supercomput.,Ouissem Touameur | Fouzi Harrag | Ladjel Bellatreche,NC,Q2,"0,716",Q2
2,journal,BioGITOM: Matching Biomedical Ontologies with Graph Isomorphism Transformer.,2025,VLDB J.,Samira Oulefki | Lamia Berkani | Nassim Boudjenah | Ladjel Bellatreche | Aïcha Mokhtari,NC,Q1,"1,176",Q1
2,journal,SemPart: Yet another RDF data partitioning strategy.,2025,World Wide Web (WWW),Boumediene Saidi | Houcine Matallah | Amin Mesmoudi | Ladjel Bellatreche,NC,Q1,"0,876",Q1
2,conference,ICE-Cubed: Inpainting of Cinematographic Elements for Intelligent Context Expansion.,2025,ACIVS,David Traparic | Maugan De Murcia | Mohamed-Chaker Larabi | Ladjel Bellatreche,B,,0,NC
2,conference,PAID: Power-Efficient AI-Optimized Databases.,2025,DaWaK,Ayoub Bouhatous | Ladjel Bellatreche | El Hassan Abdelwahed | Carlos Ordonez 0001,B,,0,NC
2,conference,Accelerating Python Code with Parallel I/O.,2025,DEXA (2),Robin Varghese | Hashirul Quadir | Ladjel Bellatreche | Carlos Ordonez 0001,C,,0,NC
2,conference,Enriching Spatial Indexes For User-Centric And Context-Aware Points Of Interest Search.,2025,SSDBM,Raghav Mittal | Ayaan Kakkar | Mukesh K. Mohania | Ladjel Bellatreche | Yoshiharu Ishikawa,B,,0,NC
2,journal,Data engineering and modeling for artificial intelligence.,2024,Data Knowl. Eng.,Carlos Ordonez 0001 | Wojciech Macyna | Ladjel Bellatreche,NC,Q2,"0,682",Q2
2,journal,Balanced parallel triangle enumeration with an adaptive algorithm.,2024,Distributed Parallel Databases,Abir Farouzi | Xiantian Zhou | Ladjel Bellatreche | Mimoun Malki | Carlos Ordonez 0001,NC,Q2,"0,451",Q2
